Link,Judul,Harga,Deskripsi
https://www.airbnb.com/rooms/43736597?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,"Skandinavia Apartment - 2BR, Tangcity Superblock",$49,5 guests · 2 bedrooms · 3 beds · 1 bath
https://www.airbnb.com/rooms/48600958?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Fairview House apartment with private elevator,$78,6 guests · 2 bedrooms · 2 beds · 2.5 baths
https://www.airbnb.com/rooms/43510571?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,🔹 Brooklyn Apartment Denim themed Studio,$46,2 guests · 1 bedroom · 0 beds · 1 bath
https://www.airbnb.com/rooms/22167814?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Minima Residence | Spacious & Private 3BR House,$74,6 guests · 3 bedrooms · 3 beds · 2 baths
https://www.airbnb.com/rooms/30681798?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,"Joey Apartment in CdP, Close to AEON and ICE BSD",$32,3 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/24195844?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,"Rumah dekat ICE AEON, Cluster New Vivacia BSD-3BR",$84,6 guests · 3 bedrooms · 4 beds · 2 baths
https://www.airbnb.com/rooms/48929227?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Branz BSD 2 Bedroom Apartment Best Floor & View,$58,4 guests · 2 bedrooms · 3 beds · 2 baths
https://www.airbnb.com/rooms/49507694?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Apartemen Saveria Near Aeon Mall,$21,2 guests · 1 bedroom · 1 private bath
https://www.airbnb.com/rooms/43736597?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,"Skandinavia Apartment - 2BR, Tangcity Superblock",$49,5 guests · 2 bedrooms · 3 beds · 1 bath
https://www.airbnb.com/rooms/33697461?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=875fe682-6d4f-4733-a0eb-48e2e36fac0b,Apartment Puri Orchard [Studio] at West Jakarta,$16,2 guests · Studio · 1 bed · 1 bath
